"Company Name","Company Site","Report Link","Report Year","Mean Hourly Gap","Median Hourly Gap","Mean Bonus Gap","Median Bonus Gap","Mean Hourly Gap Part Time","Median Hourly Gap Part Time","Mean Hourly Gap Part Temp","Median Hourly Gap Part Temp","Percentage Bonus Paid Female","Percentage Bonus Paid Male","Percentage BIK Paid Female","Percentage BIK Paid Male","Q1 Female","Q1 Men","Q2 Female","Q2 Male","Q3 Female","Q3 Male","Q4 Female","Q4 Male","Percentage Employees Female","Percentage Employees Male"
"Central Bank of Ireland",https://www.centralbank.ie/,https://www.centralbank.ie/docs/default-source/careers/gender-pay-gap-report/gender-pay-gap-report-2023---final.pdf?sfvrsn=4eb89d1d_3,2023,3.9,0.5,,,15.8,12.3,1.4,2.7,,,19.2,15.8,52,48,50,50,47,53,46,54,49,51
"Central Remedial Clinic",https://www.crc.ie/,https://www.crc.ie/assets/files/pdf/gender_pay_gap_report_2023.pdf,2023,-13.08,-26.89,,,-35.83,-41.82,-1.16,-11.07,,,,,62.24,37.76,76.29,23.71,87.63,12.37,80.41,19.59,76.6,23.29
"Central Statistics Office (CSO)",https://www.cso.ie/en/index.html,https://www.cso.ie/en/media/csoie/releasespublications/documents/corporatepublications/CSO_Gender_Pay_Gap_Report_2023.pdf,2023,8.2,3.5,,,-0.6,-9.8,1.6,0.6,,,,,53.9,46.1,59,41,64,36,44.7,55.3,55,45
"Chadwicks Group",https://chadwicksgroup.ie/,https://chadwicksgroup.ie/gender-pay-gap-report-2023/,2023,8.69,3.03,27.37,0,-40,-67.94,-8.78,-11.21,73,75.28,44.33,42.63,23.64,76.36,20.11,79.89,18.16,81.84,19.57,80.43,,
"Chanelle Pharma",https://chanellepharma.com/,https://chanellepharma.com/wp-content/uploads/2023/12/FB743-Pay-Gap-Report_V5.pdf,2023,20,19,3,,,,,,12,14,35,40,,,,,,,,,41,59
"Cheshire Ireland",https://www.cheshire.ie/,https://static1.squarespace.com/static/5f4e4f19345cdb2453f34f31/t/6583360ce390847021fe07a0/1703097869921/Gender+Pay+Gap+Report+2023.pdf,2023,-1.87,-1.72,,,-2.34,-3.49,-2.18,0.11,,,,,72.12,27.88,72.12,27.88,78.18,21.82,80.49,19.51,,
"Chief State Solicitors Office",https://www.attorneygeneral.ie/csso/english/index.htm,https://www.attorneygeneral.ie/csso/publications/genderpaygap/CSSO_Gender_Pay_Gap_Report_2023.pdf,2023,-10.78,-30.77,,,13.2,7.61,-1.51,0.13,,,,,52.87,47.13,63.22,36.78,62.96,37.04,70.33,29.67,62.43,37.57
"Children's Health Ireland",https://www.childrenshealthireland.ie/,https://media.childrenshealthireland.ie/documents/CHI_Gender_Pay_Gap_Report_2023_Final.pdf,2023,26.1,5,,,17.3,-9,21.3,20.1,,,,,18.5,81.5,87.1,12.9,91.2,8.8,72.8,27.2,83.1,16.9
"Circle K",https://www.circlek.ie/,https://www.circlek.ie/2023-news/circle-k-retail-gender-pay-gap-reporting-2023,2023,-1.8,0.02,-13.2,-1,0.75,0.44,,,72,65,6.3,4.2,53,47,53.4,46.6,52,48,46.3,53.7,,
Cisco,https://www.cisco.com/,https://www.cisco.com/c/dam/global/en_uk/about/csr/ireland-gpgr-2023.pdf,2023,22.4,29.2,31.6,36.6,-13.2,7,0,0,100,98.5,98.9,97.8,35.6,64.4,28.1,71.9,19.1,80.9,16.9,83.1,26,74
"Citco Fund Services (Ireland) Limited",https://www.citco.com/,https://www.citco.com/uploads/documents/regulatory-disclosures/Citco-Fund-Services-Ireland-Limited-Gender-Pay-Gap-Report-2023.pdf,2023,14,6,42,54,,,-6,0,52,57,78,77,42,58,50,50,47,53,33,67,43,57
"Citibank Europe Plc Ireland (CEP Ireland)",https://www.citigroup.com/global/about-us/global-presence/ireland,https://www.citigroup.com/rcs/citigpa/storage/public/IrelandGenderPayGapReport2023.pdf,2023,11,16,26,26,,,-6,-14,86,86,98,98,44,56,51,49,60,40,63,37,,
"City of Dublin Education and Training Board",https://www.cityofdublinetb.ie/,https://www.cityofdublinetb.ie/media/City-of-Dublin-ETB-Gender-pay-gap-statement-2023.pdf,2023,-7.72,-15.88,,,-0.89,-0.28,,,,,,,50.76,49.24,50.58,49.42,49.87,50.13,49.22,50.78,64.63,35.37
"Clare County Council",https://www.clarecoco.ie/,https://www.clarecoco.ie/your-council/publications/gender-pay-gap-report-2023-53527.pdf,2023,-9.93,-17.55,,,-13.99,-7.63,5.39,9.8,,,0.7,0.8,30.31,69.69,19.69,80.31,53.75,46.25,48.63,51.37,38,62
"Coca Cola Ireland",https://www.coca-cola.com/ie/en,https://www.coca-cola.com/content/dam/onexp/ie/en/pdf-files/IrelandPayGap_2023_FINAL.pdf,2023,2.9,-5.3,10.2,22,-16,-24.7,4.3,1.7,87.1,91.6,94.6,93.7,35,65,34.5,65.5,39.8,60.2,38.7,61.3,37,63
Cognizant,https://www.cognizant.com/uk/en,https://www.cognizant.com/uk/en/documents/ireland-gender-pay-gap-report-2023.pdf,2023,31.6,41.5,48.1,12.7,9.4,16.7,-15.5,-4.2,92,90,,,55,45,49,51,30,70,17,83,38,62
Coillte,https://www.coillte.ie/,https://www.coillte.ie/wp-content/uploads/2023/12/Coillte-Gender-Pay-Gap-Report-2023.pdf,2023,-14.34,-11.77,5.58,0,-39.89,-66.77,-81.78,-84.48,86.72,60.88,100,100,8.55,91.45,34.48,65.52,37.07,62.93,29.41,70.59,27,73
"Compass Ireland",https://www.compass-group.ie/,https://www.compass-group.ie/media/cbgbv3ad/com_ireland_gender_pay_gap_report_1223_final.pdf,2023,6.8,5.8,35.3,80.2,-6.8,1.4,-3.9,-5.7,,,,,60,40,51,49,47,53,41,59,,
Concentrix,https://jobs.concentrix.com/global/en/country-page-ireland,https://www.concentrix.com/legal/,2023,-3.38,1.33,-89.43,0.45,15.71,33.67,,,54.1,55.3,0.51,0.73,51.5,48.5,51.2,48.8,50,50,42.8,57.2,48.9,51.1
Concern,https://www.concern.net/,https://admin.concern.net/sites/default/files/documents/2023-12/238%20Gender%20Gap%20Report%202023.pdf,2023,2.7,0.7,42.9,29.8,-16.4,-18.4,4,0.6,,,,,60,40,41,59,52,48,48,52,50,50
"Cook Medical",https://www.cookmedical.eu/,https://www.cookmedical.eu/wp-content/uploads/2023/12/Cook-Medical-Limerick-Gender-Pay-Gap-Report-2023.pdf,2023,8.12,3.65,12.02,7.86,0,0,-6.01,1.52,98.98,98.18,92.48,91.14,52,48,58,42,56,44,45,55,53,47
"Cope Foundation",https://www.cope-foundation.ie/,https://www.cope-foundation.ie/Portals/0/Gender%20Pay%20Gap%202023.pdf,2023,-4.35,-6.7,,,-18.88,-30.58,1.01,2.69,,,,,82.43,17.57,78.11,21.89,81.62,18.38,89.16,10.84,,
"Core Media",https://www.onecore.ie/,https://static1.squarespace.com/static/618ed4140aeae666976e4752/t/65845c1659128f53c79a8aff/1703173151009/Core+Gender+Pay+Gap+2023.pdf,2023,12.11,6.83,0,0,,,,,100,100,75,75,57,43,59,41,60,40,51,49,57,43
"Cork City Council",https://www.corkcity.ie/en/,https://www.corkcity.ie/en/council-services/news-room/latest-news/gender-pay-gap-report-2023-19dec23.pdf,2023,3.59,-9.99,,,-7.26,-23.07,19.29,10.14,,,,,44.44,55.56,17.33,82.67,48.99,51.11,27.16,72.84,34,66
"Cork County Council",https://www.corkcoco.ie/en,https://www.corkcoco.ie/sites/default/files/2023-12/cork-county-council-gender-pay-gap-report-2023.pdf,2023,-0.58,-10.59,,,-2.27,-2.82,22.57,8.52,,,,,37.03,62.97,20.62,79.38,53.73,46.27,36.75,63.43,37,63
"Cork Education and Training Board",https://www.corketb.ie/,https://www.corketb.ie/wp-content/uploads/2024/01/ETB-Gender-pay-gap-statement-2023-English-Version.pdf,2023,5.91,8.12,,,5.89,3.3,,,,,,,49.96,50.04,50.04,49.96,50.03,49.97,48.45,51.55,71.16,28.84
"Corrib Oil",https://corriboil.com/,https://corriboil.com/h2-properties-gender-pay-gap-report-2023/,2023,3.91,-1.04,50,0,-2.24,-1.97,,,20,31,1,1,66,34,61,39,73,27,62,38,65,35
"CPL:  Computer Placement Limited",https://www.cpl.com/ie,https://www.cpl.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNys4VGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--378bc47b5508dbc0c5ca4b186267582359d9569c/Cpl_Gender_Pay_Gap_Report_2023.pdf,2023,10,9,43,36,-35,-28,,,77,84,13,13,80,20,74,26,64,36,62,38,,
"CPL:  Flexible Talent Workforce",https://www.cpl.com/ie,https://www.cpl.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNys4VGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--378bc47b5508dbc0c5ca4b186267582359d9569c/Cpl_Gender_Pay_Gap_Report_2023.pdf,2023,-8,-8,-5,-2,,,,,13,17,6,9,49,51,58,42,60,40,66,34,,
"Creganna Medical Ireland Limited",https://www.te.com/usa-en/products/brands/creganna.html,https://www.te.com/content/dam/te-com/documents/about-te/corporate-responsibility/global/CregannaGenderPayGapReport2023.pdf,2023,11.6,7.9,14.4,9.5,13.4,3.4,-6.3,1.7,89.4,89.5,65.8,63.2,48.4,51.6,42.2,57.8,38.6,61.4,29.2,70.8,40,60
"CRH: CRH Group Services Limited",https://www.crh.com/,https://www.crh.com/media/5031/group-services-gender-pay-gap-report-final-2023.pdf,2023,55.5,27.6,71,69,-66,-4.3,-18.8,-71.5,91.4,86.9,62.3,60.8,48.5,51.5,62.6,37.4,37.4,62.6,28,72,,
"CRH: Irish Cement",https://www.irishcement.ie/,https://www.crh.com/media/5032/icl-gender-pay-gap-final-2023.pdf,2023,3.7,-3.8,14.3,-12.9,,,14.1,-1.3,65,86,23,14,16,84,9,91,16,84,12,88,15,85
"CRH: Roadstone",https://roadstone.ie/,https://www.crh.com/media/5033/gender-gap-poster-roadstone-final-2023.pdf,2023,5.7,-0.4,27.7,19.4,,,15.2,11.6,90.6,93.4,10.4,35.9,20,80,12,88,20,80,12,88,16,84
"Currys Ireland Ltd",https://www.currys.ie/,https://www.currysplc.com/media/p4dbtahk/roi_genderpaygapreport_2023_final.pdf,2023,0.5,1.6,11.7,26.9,1,1.4,,,92.5,94,100,100,41.1,58.9,34.7,65.3,24.2,74.8,29,71,,
"daa (Dublin Airport Authority)",https://www.daa.ie/,https://www.daa.ie/wp-content/uploads/2023/12/daa-Gender-Pay-Gap-Report-2023.pdf,2023,12.2,13.2,11,6,-14.8,-3.8,2.3,3.2,,,86.7,88.7,46.4,53.6,42.9,57.1,37.6,62.4,28.9,71.1,,
Dairygold,https://www.dairygold.ie/,https://www.dairygold.ie/wp-content/uploads/2023/12/Dairygold-Gender-Pay-Gap-Report-2023-1.pdf,2023,9.8,9.1,40.1,38,-42.8,-34.1,21.2,19.7,48.8,31.3,84.5,86.3,32.4,67.6,36.8,63.2,28.5,71.5,25.5,74.5,31,69
"Dalata Hotel Group",https://dalatahotelgroup.com/,https://dalatahotelgroup.com/wp-content/uploads/2023/12/Gender-Pay-Gap-Report-2023.pdf,2023,9.8,5.9,48.8,13.3,2.6,1.1,,,16.9,15.6,0.4,1.2,62,38,60,40,51,49,45,55,52,48
"Danone Ireland",https://www.danone.ie/,https://www.danone.ie/content/dam/corp/local/gbr/irl/Danone%20Ireland%20GPG%20Report%202023-Final.pdf,2023,0.89,0.97,26,77,,,,,85.17,89.5,,,48,52,17,83,30,70,30,70,31,69
Davy,https://www.davy.ie/,https://www.davy.ie/binaries/content/assets/davy/legal/disclosures/2023/davy_gender-pay-gap-report-2023.pdf,2023,40.1,27.6,62,46.9,25.6,62.9,33.3,-18.6,81.1,78.1,88.9,88,53.1,46.9,52.1,47.9,44.8,55.2,21.6,78.4,43,37
"Dawn Meats",https://www.dawnmeats.com/,https://cdgdawnmeats.wpenginepowered.com/wp-content/uploads/2023/12/Dawn-Meats-Gender-Pay-Gap-Report-2023.pdf,2023,9,6,64,58,,,,,5,5,0.2,2,25,75,20,80,16,84,17,83,20,80
"DB Schenker",https://www.dbschenker.com/,https://www.dbschenker.com/resource/blob/1659586/8fad8669c666584f44082643322db84a/gender-pay-gap-ireland-2023-data.pdf,2023,1.26,-17.11,27.17,0,-72.91,-64.16,1.37,0.07,90.59,84.62,44.53,33.65,27.98,72.02,30.95,69.05,46.3,53.57,41.67,58.33,37,63
Dealz,https://www.dealz.ie/,https://www.dealz.ie/great-ideas/wp-content/uploads/2023/12/ROI-GPG-2023-FINAL.pdf,2023,7,3,7,20,-0.85,-108,25,19.53,5.7,9.03,0.44,2.14,72,28,72,28,69,31,60,40,,
"Dell Technologies Ireland: Dell Products",https://www.dell.com/en-ie,https://www.delltechnologies.com/asset/en-ie/solutions/business-solutions/briefs-summaries/gender-pay-gap-report-ireland-2023.pdf,2023,9.8,11.1,4.9,22.6,29.9,32.1,3.9,2.9,94.9,97,95.3,97.1,43.2,56.8,36.5,63.5,31,69,28.6,71.4,33,67
"Dell Technologies Ireland: EMC International ",https://www.dell.com/en-ie,https://www.delltechnologies.com/asset/en-ie/solutions/business-solutions/briefs-summaries/gender-pay-gap-report-ireland-2023.pdf,2023,10.6,10.9,20,11.5,-140.8,-123.2,-3.7,1.7,97.2,98.9,96.8,98.7,40.8,59.2,28.8,71.2,28.5,71.5,27.5,72.5,33,67
"Deloitte Ireland (excluding partners)",https://www2.deloitte.com/ie/en.html,https://www2.deloitte.com/content/dam/Deloitte/ie/Documents/aboutdeloitte/ie-gender-pay-gap-report-2023.pdf,2023,4.9,5.97,7.2,0,10.36,36.32,-0.8,0,44,43,61,63,48,52,51,49,47,53,48,52,,
"Dental Care Ireland",https://www.dentalcareireland.ie/,https://www.dentalcareireland.ie/wp-content/uploads/2024/01/DCI-Gender-Pay-Gap-Report-2023.pdf,2023,23,19,-486,-458,22,20,,33,10,8,100,100,97,3,98,2,96,4,94,6,96,4
"Department of Agriculture Food & Marine",https://www.gov.ie/en/organisation/department-of-agriculture-food-and-the-marine/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/282339/9ced76ba-0bc9-430f-a8aa-e0db5593da79.pdf#page=null,2023,9.68,12.71,,,8.44,10.91,-27.9,0,,,,,48,52,60.76,39.24,44.62,55.38,36.84,63.16,49,51
"Department of Children Equality Disability Integration and Youth",https://www.gov.ie/en/organisation/department-of-children-equality-disability-integration-and-youth/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279680/ee7599f7-1d79-4c65-9d18-c4547b2f7843.pdf#page=null,2023,-5.16,-13.54,,,-89.82,-67.85,20.38,4.69,,,,,54.17,45.83,50,50,61.9,38.1,56.55,43.45,55.65,44.35
"Department of Education",https://www.gov.ie/en/organisation/department-of-education/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279602/8c140584-b96c-4569-953d-1ca0c268f37f.pdf#page=null,2023,0.41,2.35,,,5.42,12.91,-0.52,-1.56,,,,,69.04,30.96,77.06,22.94,66.74,33.26,72.16,27.84,71,29
"Department of Enterprise Trade and Employment",https://enterprise.gov.ie/en/,https://enterprise.gov.ie/en/publications/publication-files/report-on-the-gender-pay-gap-in-dete-2023.pdf,2023,10.86,11.78,,,11.01,-4.7,-8.03,-4.47,,,,,64.66,53.34,58.19,41.81,57.08,42.92,48.05,51.95,57,43
"Department of Finance",https://www.gov.ie/en/organisation/department-of-finance/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279727/8ee81890-8dd2-4916-8b17-e7071b78156d.pdf#page=null,2023,4.82,10.59,,,47.92,47.34,0,0,,,5.26,2.85,43.04,56.96,47.37,52.63,48.05,51.95,33.33,66.67,42.9,57.2
"Department of Foreign Affairs",https://www.dfa.ie/,https://dfa.ie/media/dfa/aboutus/ourcommitments/Gender-Pay-Gap-Report-2023.pdf,2023,11.9,4.71,,,-1.22,1.53,0.52,0.58,,,,,60.34,39.66,59.47,40.53,59.92,40.08,48.85,51.15,57,43
"Department of Further and Higher Education Research Innovation and Science",https://www.gov.ie/en/organisation/department-of-higher-education-innovation-and-science/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279827/c8ae368c-9004-48d9-8bed-842e8e54db4d.pdf#page=null,2023,7.95,1.88,,,-77.91,-76.93,,,,,,,59.68,40.32,63.93,36.07,63.33,36.67,58.06,41.94,61,39
"Department of Health",https://www.gov.ie/en/organisation/department-of-health/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279788/96329f96-32b0-4a4a-b14b-e1a737b6a357.pdf#page=null,2023,3.02,-0.76,,,-14.98,-19.05,,,,,,,55,45,50,50,54,46,50,50,55,45
"Department of Housing Local Government and Heritage",https://www.gov.ie/en/organisation/department-of-housing-local-government-and-heritage/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279276/8799dc05-545d-4add-b46e-8772391f3314.pdf#page=null,2023,5.04,7.41,,,-8.77,-3.22,-0.57,0.47,,,,,48.91,51.09,55.07,44.93,46.8,53.2,44.47,55.53,49,51
"Department of Justice and the
Probation Service: Probation Service",https://www.gov.ie/en/organisation/department-of-justice/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279867/344e5310-9736-4530-87e2-79d01f4d8a1e.pdf#page=null,2023,-5.2,-19.66,,,-10.84,-40.27,,,,,,,56,44,63,37,76,24,72,28,67,33
"Department of Justice and the
Probation Service: the Department",https://www.gov.ie/en/organisation/department-of-justice/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279864/3f54d805-a7ec-4902-a2b3-54121bb25633.pdf#page=null,2023,5.32,4.99,,,0.92,0.79,-13.2,-13.25,,,,,62,38,57,43,57,43,55,45,58,42
"Department of Public Expenditure and Reform",https://www.gov.ie/en/organisation/department-of-public-expenditure-and-reform/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279416/03dd45a2-f1ff-4b52-9d68-b5ebb5cda78d.pdf#page=null,2023,2.57,-1.56,,,-13.66,-7.58,0.02,0,,,,,49.16,50.84,49.16,50.84,52.51,47.49,47.49,52.51,,
"Department of Social Protection",https://www.gov.ie/en/organisation/department-of-social-protection/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279824/414971aa-a5d3-4df5-aca9-946dcd1557d4.pdf#page=null,2023,4.69,-0.24,,,-2.56,-2.36,-1.28,-0.37,,,,,67.61,32.39,68.38,31.62,75.46,24.54,63.42,36.58,68.73,31.27
"Department of the Environment Climate and Communications",https://www.gov.ie/en/organisation/department-of-the-environment-climate-and-communications/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279238/da88f55b-5a87-4493-ad69-6ad6c4a4e8b4.pdf#page=null,2023,10.3,10.3,,,-5.6,5.5,,,,,,,49.3,50.7,56,44,49,51,38,62,48,52
"Department of the Taoiseach",https://www.gov.ie/en/organisation/department-of-the-taoiseach/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279638/2ded1de4-53fd-413a-9c49-f5022334e6e0.pdf#page=null,2023,5.57,2.5,,,5.17,15.5,,,,,,,48.4,51.6,69.8,30.2,68.2,31.8,51.6,48.4,61.2,38.8
"Department of Tourism Culture Arts Gaeltacht Sport and Media",https://www.gov.ie/en/organisation/department-of-tourism-culture-arts-gaeltacht-sport-and-media/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279721/666a0cd2-9804-4178-a2cb-3266cc5ffeb8.pdf#page=null,2023,4.24,0.92,,,-30.04,-22.22,0.58,0,,,,,64.55,35.45,55.96,44.04,64.22,35.78,54.55,45.45,59.82,40.18
"Department of Transport",https://www.gov.ie/en/organisation/department-of-transport/,https://www.gov.ie/pdf/?file=https://assets.gov.ie/279281/cd365198-e093-46f0-ba4e-3acc6cf92503.pdf#page=null,2023,13.7,14.12,,,17.64,34.98,,,,,,,50.93,49.07,55.41,44.59,40.91,59.09,33.77,66.23,47.13,54.87
Depaul,https://ie.depaulcharity.org/,https://ie.depaulcharity.org/wp-content/uploads/sites/2/2023/12/Gender-Pay-Gap-Report-2023-1.pdf,2023,-1.22,-1.49,,,1.45,0,1.45,0,,,,,,,,,,,,,61.2,38.8
"DePuy Ireland",https://jnj.co.uk/,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,2.61,4.72,-13.07,-4.44,8.99,10.48,26.06,29.29,90.66,90.3,96.69,96.57,41,59,21.1,78.9,21.1,78.9,29.6,70.4,,
"Designer Group",https://designergrp.com/,https://designergrp.com/wp-content/uploads/2023/12/Gender-Pay-Report_Dec23_V2.pdf,2023,10.85,5.87,100,100,0,,0,,0,8.46,43.59,19.34,10.75,89.25,14.13,85.87,10.75,89.25,6.52,93.48,11,89
"DHL Express Ireland",https://www.dhl.com/ie-en/home.html,https://www.dhl.com/content/dam/dhl/local/ie/core/documents/pdf/ie-gender-pay-gap.pdf,2023,17,21,40,24,8,12,,,100,98,56,61,62,38,54,46,34,66,31,69,45,55
"Diageo Republic of Ireland",https://www.diageo.com/en,http://hznnewdiageobackend-prd-593574270.eu-west-1.elb.amazonaws.com/media/a2jhztf4/roi_diageo_genderpaygap_fy23.pdf,2023,2.9,11.5,-4.6,-3,-85.7,-69.4,-2.2,16.5,74.7,83.5,100,100,49,51,44.4,55.6,35.8,64.2,41.6,58.5,42.7,57.3
Diligent,https://www.diligent.com/,https://www.diligent.com/legal/gender-pay-report,2023,5,-4,33,14,,,31,42,79,87,86,76,56,44,52,48,65,35,50,50,,
"Dole Ireland",https://doleireland.com/,https://doleireland.com/uploads/general/Gender-Pay-Gap-Report_2024_1.pdf,2023,18,3,56,33,,,,,79,72,,,26,74,32,68,33,67,21,79,,
Dominos,https://www.dominos.ie/,https://investors.dominos.co.uk/sites/default/files/attachments/pdf/gpg-report-2023.pdf,2023,-6.9,-13.2,-30.5,-42.5,,,,,85.3,92.1,,,27.1,72.9,14.3,85.7,28.1,71.9,34,66,,
"Donegal County Council",https://www.donegalcoco.ie/,https://www.donegalcoco.ie/media/donegalcountyc/humanresources/pdfs/Donegal%20County%20Council%20-%20Gender%20Pay%20Gap%202023.pdf,2023,-3.63,-17.09,,,-14.17,-15.82,5.97,10.03,,,,,25.48,74.52,13.87,86.13,40,60,35.16,64.84,29,71
"Dornan Engineering",https://www.dornan.ie/,https://www.dornan.ie/gender-pay-gap-report/,2023,37.1,38.4,24.1,-10,,,,,83.3,86.8,,,25,75,10.5,89.5,6.3,93.7,0,100,11,89
"Doyle Collection",https://www.doylecollection.com/,https://www.doylecollection.com/blog/gender-pay-gap-report-2023,2023,19.7,6.7,68.7,-29.4,0.4,0,4.8,0,6.7,9.2,,,59,41,57,43,57,43,40,60,,
DPD,https://www.dpd.ie/,https://www.dpd.ie/Portals/0/Gender_Pay_Gap_Document2023%283%29.pdf,2023,2,1,28,0,-8.5,0,,,82,77,0,0,34,66,27,73,25,75,26,74,28,72
"Drimbawn Mushrooms",https://www.monaghan.eu/,https://www.monaghan.eu/wp-content/uploads/2023/12/Gender-Pay-Gap-2023-Drimbawn-Ireland-Unlimited-Company.pdf,2023,10.2,2.9,18.8,17.9,,,,,89.3,61.5,8.7,7.7,68,32,62,38,67,33,51,49,62,38
"Dublin and Dun Laoghaire Education
and Training Board",https://www.ddletb.ie/home-page-new/,https://www.ddletb.ie/wp-content/uploads/2024/01/DDLETB-Gender-pay-gap-statement-2023_-1.pdf,2023,4.26,-1.06,,,10.38,0.02,0,0,,,,,51.82,48.18,50.25,49.75,50.26,49.74,49.26,50.74,70.82,29.18
"Dublin Bus",https://www.dublinbus.ie/home,https://www.dublinbus.ie/policys-and-procedures/gender-pay-gap-report,2023,-4.1,2.1,52.4,100,-0.9,1,-7.4,-0.9,39,69,,,,,,,,,,,8,92
"Dublin Business School",https://www.dbs.ie/,https://www.dbs.ie/docs/default-source/default-document-library/dbs-gender-pay-gap-2023.pdf?sfvrsn=448962eb_2,2023,7.7,35.8,-36.6,-8.6,-0.89,0,16.6,74.9,33.33,55.66,1.48,2.48,63.8,36.2,40.5,59.5,47.5,52.5,48.5,51.5,,
"Dublin City Council",https://www.dublincity.ie/residential,https://www.dublincity.ie/sites/default/files/2023-12/2023-dublin-city-council-gender-pay-gap-report.pdf,2023,4.44,3.14,,,-1.13,-3.6,-5.62,-0.91,,,,,30.64,69.36,32.75,67.25,34.58,65.42,29.61,70.39,29.61,70.39
"Dublin City University",https://www.dcu.ie/,https://www.dcu.ie/gender-pay-gap-report-2023,2023,8.18,10.71,,,14.3,29.67,1.9,-2.68,,,,,58.02,41.98,66.74,33.26,48.79,51.21,50.29,49.71,57.8,42.2
"Dún Laoghaire-Rathdown County Council",http://www.dlrcoco.ie/,https://www.dlrcoco.ie/sites/default/files/2023-12/DLRCC%20Gender%20Pay%20Gap%20Report%202023_0.pdf,2023,-3.62,-9.32,,,-29.81,-36.8,25.34,22.98,3.92,3.04,,,47.55,52.45,30.53,69.47,45.26,54.74,46.5,53.5,42,58
"Dundalk Institute of Technology",https://www.dkit.ie/,https://www.dkit.ie/about-dkit/institute-reports-and-publications/equality-diversity-and-inclusion-report-and-publications/edi-reports-and-publications/gender-pay-gap-report-2023.pdf,2023,14.9,14.5,,,6.5,1.7,24.1,37.9,,,,,64,36,50,50,44,56,47,53,,
"Dunnes Stores",https://www.dunnesstores.com/,https://dunnes.btxmedia.com/pws/client/pdf/dunnes-stores-gender-pay-gap-report-2023.pdf,2023,10.6,-1.1,65.3,6.9,-5.2,-3.1,35.8,33.9,83,77,100,100,60,40,61,39,63,37,62,38,,
"EA Ireland Ltd",https://www.ea.com/,https://media.contentapi.ea.com/content/dam/pdf/ea-ireland-ltd-gender-pay-gap-report-2023.pdf,2023,-1.79,-0.82,-9.88,7.74,-76.55,-76.55,8.86,0.33,97.12,97.93,95.19,98.96,30.67,69.33,37.84,62.16,37.84,62.16,33.78,66.22,35,65
"Eason & Son",https://www.easons.com/,https://easoncorporate.com/pdf/Easons_Gender_Pay_2023.pdf,2023,12.9,-3.7,95,8.3,-6.7,-1.2,,,7.2,11.8,55.6,42.9,69,31,65,35,75,25,68,32,69,31
eBay,http://www.ebay.ie/,https://static.ebayinc.com/assets/Uploads/Documents/2023-eBay-IRL-GPG-Report.pdf,2023,8.3,0.5,26.9,11.1,-31.4,-2.5,0.2,8.6,91.6,92.5,93.4,85.4,52.9,47.1,50.7,49.3,51.4,48.6,49.1,50.9,,
"Ei Electronics",https://www.eielectronics.ie/,https://www.eielectronics.ie/gender-pay-gap-analysis-at-ei-electronics-2023/,2023,25.4,1.3,21.4,7.8,0.4,0.1,0.2,0,99.8,98.5,74.3,70.4,62,38,65,35,65,35,40,60,,
Eir,https://www.eir.ie/,https://www.eir.ie/opencms/export/sites/default/.content/pdf/eir-2023-Gender-Pay-Gap-Report.pdf,2023,5.51,19.27,-40.69,-84.64,4.01,8.22,-2.49,1.66,88.45,84.7,28.24,51.2,34.34,65.66,22.33,77.67,13.94,86.08,18.93,81.07,22.36,77.64
EirGrid,https://www.eirgrid.ie/,https://cms.eirgrid.ie/sites/default/files/publications/2023%20EirGrid%20Gender%20Pay%20Gap%20Report.pdf,2023,10.3,8.9,19.4,15.9,-2.6,13,,,87,81,24,38,44,56,33,67,27,73,30,70,33,67
Elavon,https://www.elavon.ie/,https://www.elavon.ie/content/dam/elavon/en-ie/documents/legal/1113004-2023-ireland-pay-gap-report-12-20.pdf,2023,20.7,22.9,35,48.3,17.5,8.3,-1.2,3.4,73,76,88,87,65,35,58,42,41,59,36,64,,
"Eli Lilly: Cork",https://www.lilly.com/,https://assets.ctfassets.net/r4uhiiu7kbc1/ADIeIiO5aezZdEvAHDdNI/fbb72c7bdfb6ca9814228713b87de94b/IE_Gender_Pay_Gap_December2023_PP-MG-IE-0086.pdf,2023,7,3.7,18.8,4.7,,,-13.5,0,71,75,88,85,73,27,70,30,71,29,66,34,70,30
